groupname;loginname;code;bookletname;unitname;timestamp;logentry
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838676634";PLAYER = LOADING
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838676747";PLAYER = RUNNING
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838677838";CURRENT_PAGE_NR = 1
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838677838";CURRENT_PAGE_ID = 1
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838677838";PAGE_COUNT = 4
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838677838";PRESENTATION_PROGRESS = some
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838677838";RESPONSE_PROGRESS = some
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838679409";CURRENT_PAGE_NR = 2
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838679409";CURRENT_PAGE_ID = 2
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698838679409";PAGE_COUNT = 4
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698839212517";PLAYER = LOADING
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698839212638";PLAYER = RUNNING
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698839213703";CURRENT_PAGE_NR = 1
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698839213703";CURRENT_PAGE_ID = 1
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698839213703";PAGE_COUNT = 4
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698839214770";CURRENT_PAGE_NR = 2
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698839214770";CURRENT_PAGE_ID = 2
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.1";"1698839214770";PAGE_COUNT = 4
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839225964";PLAYER = LOADING
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839226073";PLAYER = RUNNING
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839227152";CURRENT_PAGE_NR = 1
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839227152";CURRENT_PAGE_ID = 1
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839227152";PAGE_COUNT = 4
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839227152";PRESENTATION_PROGRESS = some
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839227152";RESPONSE_PROGRESS = some
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839228223";CURRENT_PAGE_NR = 2
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839228223";CURRENT_PAGE_ID = 2
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"b1.2";"1698839228223";PAGE_COUNT = 4
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838676601";CONTROLLER : "RUNNING"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838676611";CONNECTION : "POLLING"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838676633";CURRENT_UNIT_ID : "b1.1"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838676705";CONNECTION : "WEBSOCKET"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838676869";LOADCOMPLETE : "{""browserVersion"":""115.0"",""browserName"":""Firefox"",""osName"":""Linux x86_64"",""device"":"""",""screenSizeWidth"":1920,""screenSizeHeight"":1080,""loadTime"":381}"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838678830";FOCUS : "HAS"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838681686";CONNECTION : "POLLING"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838681726";CONNECTION : "WEBSOCKET"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838696426";FOCUS : "HAS_NOT"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838770378";FOCUS : "HAS"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838771818";FOCUS : "HAS"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698838772144";CONTROLLER : "TERMINATED"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839212490";CONTROLLER : "RUNNING"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839212515";CURRENT_UNIT_ID : "b1.1"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839212498";CONNECTION : "POLLING"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839212702";CONNECTION : "WEBSOCKET"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839212875";LOADCOMPLETE : "{""browserVersion"":""115.0"",""browserName"":""Firefox"",""osName"":""Linux x86_64"",""device"":"""",""screenSizeWidth"":1920,""screenSizeHeight"":1080,""loadTime"":1172}"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839214181";FOCUS : "HAS"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839217583";CONNECTION : "POLLING"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839217624";CONNECTION : "WEBSOCKET"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839225960";CURRENT_UNIT_ID : "b1.2"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839226381";FOCUS : "HAS"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839227631";FOCUS : "HAS"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839233376";FOCUS : "HAS"
"experimental__miagi";"test";"xxx";"BOOKLET.SAMPLE-3";"";"1698839233666";CONTROLLER : "TERMINATED"